facil,SiteCode  ,Storer         ,Sku                 ,Description                                                 ,<= 15 Days,>15 and <=30 Days   ,>30 and <=45 Days   ,>45 and <=60 Days   ,>60 and <=90 Days   ,>90 and <=120 Days  ,>120 and <=150 Days ,>150 and <=180 Days ,>180 and <=210 Days ,>210 Days 
DLAKL,DMI       ,DELL           ,00KV4               ,ASSY BASE PTR APCC HV E514DW                                ,19        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,00KV4               ,ASSY BASE PTR APCC HV E514DW                                ,0         ,0                   ,0                   ,128                 ,0                   ,88                  ,34                  ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,02G21               ,FGA INSP LPT 3558 BTS                                       ,0         ,0                   ,0                   ,0                   ,25                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,0346K               ,KIT PTR TBL WING C7765DN                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,VMI       ,M1100          ,0346K               ,KIT PTR TBL WING C7765DN                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20                  ,0                   ,0         
DLAKL,DMI       ,DELL           ,03YNJ               ,CUS CTRG TONR 45K U/R B5460DN                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,VMI       ,M1010          ,03YNJ               ,CUS CTRG TONR 45K U/R B5460DN                               ,0         ,30                  ,0                   ,0                   ,20                  ,20                  ,0                   ,3                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,06VCM               ,CTRG INK VX25W SRS33R MGTA                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8         
DLNSW,VMI       ,M1010          ,06VCM               ,CTRG INK VX25W SRS33R MGTA                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,20                  ,0                   ,0                   ,14        
DLNSW,VMI       ,M1024          ,08VF9               ,CASE CRYG 8 YATES RD E-FOL                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,748                 ,0                   ,34        
DLNSW,DMI       ,DELL           ,0DMHT               ,KIT SW OFCHB-2013 MPI SP1 ASIA                              ,750       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0         
DLWA ,DMI       ,DELL           ,0DMHT               ,KIT SW OFCHB-2013 MPI SP1 ASIA                              ,3         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,0G85J               ,BASE PTR LS HV ANZ B5460DN                                  ,0         ,0                   ,0                   ,0                   ,20                  ,18                  ,0                   ,1                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,0G85J               ,BASE PTR LS HV ANZ B5460DN                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,0H3R6               ,ASSY BASE PTR ANZ B2375DNF                                  ,0         ,24                  ,0                   ,0                   ,16                  ,0                   ,0                   ,0                   ,0                   ,2         
DLAKL,DMI       ,DELL           ,0J0YT               ,KIT MSE WRLES LS BCC WM324                                  ,0         ,50                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,0J0YT               ,KIT MSE WRLES LS BCC WM324                                  ,0         ,0                   ,0                   ,0                   ,820                 ,0                   ,364                 ,0                   ,0                   ,6         
DLWA ,DMI       ,DELL           ,0J0YT               ,KIT MSE WRLES LS BCC WM324                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2                   ,1         
DLAKL,DMI       ,DELL           ,0J5D5               ,ASSY BASE PTR APCC HV C5765DN                               ,0         ,0                   ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,0J5D5               ,ASSY BASE PTR APCC HV C5765DN                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,27        
DLAKL,DMI       ,DELL           ,0K7PY               ,DIS 23 P2314T ANZ                                           ,0         ,0                   ,9                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M0711          ,0K7PY               ,DIS 23 P2314T ANZ                                           ,32        ,121                 ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,0KFHM               ,CSN SI LBL 3336 NDBM V1FKX                                  ,0         ,0                   ,0                   ,0                   ,1164                ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,VMI       ,M1010          ,0MMRT               ,KIT CTRG INK S31 CYAN APJ RTL                               ,0         ,48                  ,16                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,0W6KV               ,ADPT AC 90W DLTA 3P L6 WW                                   ,0         ,0                   ,0                   ,0                   ,25                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,0W6KV               ,ADPT AC 90W DLTA 3P L6 WW                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,10H6F               ,CASE CRYG 13 LTHR TOP                                       ,4         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,12D71               ,KIT FUSER LJ HV C266X                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8         
DLNSW,VMI       ,M1100          ,136KW               ,KIT PTR ICCARD GATE C5765                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,DMI       ,DELL           ,19RY2               ,FGA XPS DT XPS 8700 BTS                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,1C4R4               ,KIT STY PLSTC ACTIVE APJ2                                   ,6         ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,1C4R4               ,KIT STY PLSTC ACTIVE APJ2                                   ,320       ,264                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,39        
DLNSW,DMI       ,DELL           ,1DR35               ,KIT ACC DNGL BELVEDERE APJ1                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,84        
DLAKL,DMI       ,DELL           ,1DWRX               ,CASE CRYG 15.6 POLY UR2.0 TOP                               ,0         ,0                   ,0                   ,0                   ,127                 ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,1DWRX               ,CASE CRYG 15.6 POLY UR2.0 TOP                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,40        
DLNSW,VMI       ,M1024          ,1DWRX               ,CASE CRYG 15.6 POLY UR2.0 TOP                               ,1000      ,1000                ,0                   ,0                   ,188                 ,0                   ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,1DWRX               ,CASE CRYG 15.6 POLY UR2.0 TOP                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,1FXVF               ,KIT STY PLSTC ACTIVE APJ                                    ,0         ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,500       
DLAKL,DMI       ,DELL           ,1HFWD               ,ASSY BASE PTR APCC HV E310DW                                ,0         ,0                   ,0                   ,18                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,1HFWD               ,ASSY BASE PTR APCC HV E310DW                                ,144       ,0                   ,0                   ,0                   ,117                 ,0                   ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,1HFWD               ,ASSY BASE PTR APCC HV E310DW                                ,0         ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,1J2DJ               ,KIT MSE WRLES AMF ANZ WM615                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,DMI       ,DELL           ,1J2DJ               ,KIT MSE WRLES AMF ANZ WM615                                 ,0         ,0                   ,0                   ,100                 ,0                   ,20                  ,0                   ,0                   ,0                   ,50        
DLAKL,DMI       ,DELL           ,1M4KP               ,CTRG TONR 9K CYAN C37XX                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,1M4KP               ,CTRG TONR 9K CYAN C37XX                                     ,40        ,0                   ,0                   ,0                   ,0                   ,60                  ,3                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,1M5Y2               ,KIT STND E-FPM W/ VESA PLT WW                               ,300       ,360                 ,0                   ,493                 ,0                   ,0                   ,2                   ,0                   ,0                   ,10        
DLNSW,DMI       ,DELL           ,1NCVK               ,CSN 5944 INFO LBL CM 77C5V                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,DMI       ,DELL           ,1T0R5               ,KIT MEDIA DVD SUST RDVD PWS                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,55        
DLNSW,DMI       ,DELL           ,1T8RC               ,FGA INSP DT 3647 BTS                                        ,0         ,0                   ,0                   ,0                   ,40                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,1TFH2               ,FGA LAT LPT E7250/7250 BTS                                  ,0         ,93                  ,0                   ,0                   ,43                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,1TH8P               ,SI CUS CSN MTR 7154 LEASING                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,VMI       ,M1100          ,1TJGD               ,ASSY TRAY FINISHER C7765DN                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8         
DLNSW,DMI       ,DELL           ,1V9N4               ,Kits Items SI CUS LOCK                                      ,0         ,0                   ,5                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,1         
